start_time,route_distance,day_of_week,avg_speed,road_type,travel_time
08:09,38,5,56,city,70.26
09:19,12,4,47,rural,15.53
19:33,13,6,34,highway,22.51
18:00,44,1,44,highway,54.74
17:32,10,7,30,rural,26.43
08:30,46,4,54,city,86.64
07:56,49,2,57,city,77.18
10:37,31,7,52,highway,34.72
12:41,18,1,49,city,29.51
18:52,44,5,54,highway,46.32
08:36,41,7,51,city,77.67
10:29,42,1,50,city,68.53
11:32,23,1,48,rural,30.74
16:59,34,6,49,city,76.2
10:55,41,2,30,city,116.73
16:54,44,6,31,highway,88.91
16:39,9,7,36,city,23.08
17:17,36,7,32,rural,97.82
09:39,7,5,56,rural,8.39
08:32,18,1,45,highway,24.36
15:16,40,4,57,highway,38.45
08:59,37,7,39,highway,67.22
10:39,22,5,58,rural,25.07
18:35,37,7,50,city,63.39
12:03,5,6,52,city,8.56
09:11,30,2,39,highway,41.68
09:13,20,3,42,rural,28.6
19:59,40,7,41,rural,65.49
16:02,45,6,52,rural,65.12
10:27,14,4,33,city,35.88
19:07,6,1,44,highway,7.05
12:52,36,6,32,city,95.08
09:09,34,3,32,highway,58.42
14:56,30,3,35,rural,56.29
10:16,43,2,43,rural,61.08
17:04,17,7,42,city,42.63
17:10,30,4,33,city,91.56
15:26,39,7,41,city,84.07
18:39,20,4,55,city,28.57
09:12,17,4,30,highway,30.52
15:52,32,2,58,rural,34.96
12:32,7,4,46,city,13.48
06:49,28,4,40,rural,42.93
12:59,20,2,51,rural,24.26
13:34,29,2,51,highway,29.77
19:09,33,1,37,highway,52.2
11:34,27,5,36,rural,51.35
08:42,6,1,58,city,10.79
19:42,45,7,53,rural,56.28
20:29,48,3,60,rural,53.34
17:08,37,2,40,highway,59.02
16:25,25,5,47,rural,44.7
17:43,17,2,52,rural,24.53
19:42,14,1,58,city,19.28
06:16,5,4,48,rural,6.38
19:21,35,1,36,city,73.25
12:25,38,5,39,rural,62.88
14:53,11,5,37,rural,20.8
13:10,45,3,48,highway,49.18
06:11,33,4,53,highway,34.9
08:17,13,1,46,city,25.94
14:52,42,6,31,highway,74.54
15:26,13,4,59,highway,12.75
08:46,15,1,31,rural,35.35
15:17,43,6,58,city,66.16
18:23,38,6,51,rural,46.34
20:50,10,2,43,highway,11.95
10:45,49,6,57,highway,48.52
18:55,45,1,34,city,111.47
07:09,19,7,34,city,44.53
20:28,13,4,34,rural,23.86
07:57,7,2,45,city,12.37
09:49,40,3,46,rural,61.54
12:55,23,4,39,rural,38.55
15:52,44,4,50,city,71.4
11:01,39,1,44,rural,53.43
12:45,29,7,51,city,50.46
16:12,25,2,37,highway,46.39
18:46,49,6,55,highway,45.16
13:18,44,6,41,rural,71.82
18:38,7,2,53,rural,8.42
07:04,17,5,55,city,24.02
07:22,41,3,43,rural,57.32
17:50,40,6,33,city,117.0
16:50,12,1,37,city,35.6
07:01,8,2,45,highway,10.49
16:11,18,5,47,highway,27.4
15:39,30,5,60,city,38.08
14:30,44,1,38,city,103.01
07:23,9,4,60,city,11.45
08:58,44,6,50,rural,68.76
20:07,45,6,41,highway,56.05
19:15,22,1,31,city,54.84
19:06,6,4,55,rural,7.14
16:24,11,4,52,highway,12.98
17:40,38,5,45,highway,57.69
16:37,50,2,58,city,89.08
17:21,19,4,50,city,39.3
06:40,45,1,43,highway,55.76
15:37,19,2,32,highway,34.75
14:09,47,6,54,city,71.46
11:16,40,2,36,city,94.58
19:23,9,2,51,city,13.83
16:55,29,6,60,city,53.73
16:25,5,4,54,rural,6.99
06:53,23,4,55,rural,28.77
14:20,17,2,56,city,23.13
16:05,40,1,39,rural,85.68
15:57,47,5,39,highway,66.12
06:04,47,5,46,rural,70.06
16:11,37,6,47,highway,48.54
18:57,50,1,51,rural,70.09
10:57,5,1,37,rural,8.31
16:58,13,1,52,highway,15.54
09:56,9,5,35,highway,14.65
17:01,28,1,51,rural,46.41
07:50,34,1,45,rural,49.91
15:56,31,6,45,city,60.4
07:45,35,4,49,highway,40.2
07:27,31,2,37,city,67.78
06:35,42,5,41,rural,67.57
11:27,18,3,30,city,50.24
15:41,41,1,32,rural,83.11
06:43,27,1,41,rural,40.11
17:55,20,2,56,highway,24.0
12:31,23,3,60,rural,25.33
09:53,25,2,41,highway,34.26
20:07,29,5,32,highway,53.82
08:11,50,4,49,highway,67.13
19:38,7,3,56,city,11.0
18:18,35,3,58,highway,31.44
13:50,15,7,52,rural,18.42
11:54,5,7,58,city,6.69
11:01,44,5,55,rural,50.8
15:36,7,7,43,highway,8.37
19:01,30,7,50,highway,34.65
10:22,20,3,40,city,39.14
09:57,30,5,54,highway,32.39
09:44,35,6,52,city,51.31
06:16,11,3,37,city,23.9
09:29,5,2,37,highway,7.62
18:06,43,5,55,city,66.2
16:40,48,6,42,rural,92.71
07:17,7,4,51,highway,7.19
08:24,14,3,44,highway,22.2
13:36,35,4,58,rural,38.13
06:08,26,3,43,city,48.15
06:17,43,2,45,rural,60.02
11:34,9,4,31,city,24.69
15:52,49,3,31,city,128.05
19:00,47,3,41,city,86.43
06:33,25,5,43,highway,29.64
13:44,42,4,36,highway,65.53
18:25,30,4,53,rural,38.68
12:11,12,7,39,highway,18.13
14:03,10,7,36,highway,14.34
18:01,36,3,44,highway,45.06
09:00,25,2,44,city,43.69
20:48,31,3,39,highway,40.66
20:49,40,5,35,highway,62.72
17:57,21,1,30,rural,50.8
16:31,7,4,56,rural,9.96
10:42,16,2,50,city,24.38
13:46,46,1,40,city,86.48
21:00,45,4,52,city,71.04
10:01,36,1,44,highway,43.91
06:06,44,7,34,rural,79.61
10:28,16,4,32,city,42.45
11:26,12,4,39,highway,17.31
09:50,7,7,40,highway,9.09
07:36,16,2,51,rural,20.36
13:16,38,1,46,rural,52.1
14:07,27,7,52,city,45.09
10:29,43,6,54,highway,47.22
13:36,21,1,52,city,33.22
16:26,50,1,39,city,134.01
07:20,49,6,31,rural,107.57
14:58,15,7,59,highway,13.98
18:07,29,1,37,rural,53.16
18:02,27,1,52,highway,29.44
08:27,29,3,54,city,51.11
08:41,15,5,59,highway,15.92
19:38,47,4,36,highway,76.84
16:01,9,6,59,city,16.55
16:08,6,2,47,city,12.72
16:09,11,1,58,city,17.99
08:40,18,3,50,city,33.07
07:45,14,7,48,city,22.65
19:42,26,5,42,highway,34.35
16:23,35,3,52,highway,49.53
14:06,50,6,57,rural,53.61
12:52,35,4,41,city,72.98
15:52,44,3,59,highway,42.98
15:46,40,6,56,city,61.78
19:47,27,4,45,highway,31.42
20:43,43,3,52,rural,59.4
16:17,9,5,53,city,16.69
16:55,18,5,60,city,33.18
11:22,29,5,35,highway,46.65
20:04,39,7,38,city,82.7
07:58,45,7,41,highway,59.76
10:00,19,7,48,rural,24.99
11:06,6,4,57,city,9.03
18:11,37,5,51,city,64.6
17:12,26,5,40,highway,48.22
13:39,7,7,52,rural,8.7
17:10,9,1,50,highway,12.49
11:02,19,1,36,city,42.21
17:02,41,1,53,rural,64.52
07:45,24,2,54,city,35.82
13:30,11,3,52,city,17.83
19:25,10,6,47,rural,13.95
17:51,42,3,48,highway,64.57
06:42,36,4,47,city,57.51
07:39,13,4,59,highway,12.9
13:49,40,3,57,rural,46.86
17:45,44,3,49,highway,61.38
16:29,9,6,45,rural,16.96
07:52,34,7,42,rural,56.51
07:56,7,2,37,highway,10.64
07:24,17,2,30,rural,38.32
15:57,13,6,55,rural,16.53
14:17,18,2,38,city,40.08
13:16,10,2,59,city,13.97
12:26,48,4,44,city,84.28
12:38,49,3,37,city,115.84
19:07,50,1,59,rural,55.52
10:44,26,2,48,city,42.8
13:26,21,6,36,rural,36.96
20:36,11,3,47,rural,15.26
16:56,24,2,47,city,49.23
09:34,28,1,52,city,44.73
19:30,7,7,44,highway,8.88
11:24,49,1,53,city,82.71
16:35,44,6,53,highway,58.13
06:29,30,4,55,city,43.42
12:17,16,7,53,rural,21.33
19:12,46,4,37,city,94.08
20:35,42,6,35,highway,71.91
20:29,11,6,53,highway,11.74
18:38,6,3,37,city,14.19
10:04,6,5,42,highway,7.61
13:00,41,5,42,city,73.6
09:08,42,4,47,city,73.67
07:24,47,4,50,city,73.46
13:34,13,2,31,rural,27.75
09:53,15,4,52,city,22.25
10:22,8,6,48,city,12.74
07:26,20,7,46,city,35.05
18:03,22,3,53,highway,22.79
12:45,10,6,40,city,21.58
19:43,41,3,38,highway,57.25
12:24,32,5,55,highway,30.53
15:34,24,5,51,city,39.42
14:19,25,1,53,highway,26.23
17:49,35,7,51,rural,61.39
16:29,46,6,39,city,106.56
13:47,40,5,32,city,100.36
12:26,13,4,60,rural,14.0
16:41,20,2,38,city,53.39
14:07,40,3,58,rural,49.44
19:42,13,4,36,city,31.25
12:59,42,3,56,highway,41.11
06:27,41,3,57,highway,39.75
09:13,18,3,30,highway,34.11
09:18,34,7,44,rural,55.63
15:57,42,3,51,highway,44.74
20:11,20,4,33,highway,30.33
06:42,34,2,44,rural,52.48
13:30,50,2,46,rural,66.66
20:47,16,2,40,highway,20.2
17:52,20,6,32,city,64.93
12:41,16,5,36,rural,27.45
13:32,24,4,36,city,51.98
17:32,28,4,31,city,88.77
17:49,5,5,38,rural,10.44
08:35,42,4,54,rural,66.11
13:57,34,1,36,highway,50.55
19:16,26,4,46,city,45.11
20:42,22,4,45,rural,34.06
09:42,18,7,48,rural,25.54
19:04,28,7,42,city,56.2
20:54,23,7,48,rural,29.95
17:55,45,4,53,highway,55.51
19:14,8,2,30,highway,14.33
17:16,49,3,32,city,168.64
06:23,7,5,60,rural,7.39
10:58,38,1,33,rural,82.68
09:57,24,3,36,city,56.97
08:05,39,4,60,highway,41.45
20:43,29,1,34,rural,53.17
10:25,43,5,33,highway,73.39
14:14,27,5,47,highway,29.82
12:29,32,2,50,rural,44.13
19:04,35,3,43,highway,46.17
13:23,28,2,52,city,46.82
07:24,10,4,38,highway,15.41
11:46,32,6,47,city,55.96
11:44,47,2,32,rural,105.49
12:21,18,4,45,city,33.62
12:14,49,6,44,rural,77.49
13:01,42,6,53,highway,42.58
19:45,39,7,54,city,60.62
15:53,22,2,56,city,33.42
14:00,16,2,55,city,24.35
16:43,40,4,56,city,68.71
10:22,41,3,37,highway,61.94
16:30,28,1,46,highway,37.96
20:02,41,5,42,rural,66.71
12:35,18,7,30,rural,38.74
18:24,43,5,39,highway,64.85
08:11,34,4,48,city,74.17
14:09,31,2,51,rural,41.61
09:01,22,3,30,rural,51.71
14:31,25,5,48,highway,26.35
09:39,8,7,30,rural,16.31
10:31,25,7,56,highway,26.25
10:51,17,7,50,city,28.77
20:37,42,2,58,city,62.83
07:28,46,3,54,rural,59.76
13:20,37,6,53,rural,48.14
14:15,22,1,38,rural,38.29
19:23,27,6,43,city,47.23
08:41,39,5,59,highway,41.77
14:45,17,3,46,rural,23.22
17:22,30,7,41,city,81.35
12:23,9,1,37,rural,15.45
06:04,48,3,46,city,87.72
14:18,24,7,57,city,32.39
18:24,6,7,30,highway,10.62
07:49,25,4,56,highway,25.91
10:26,44,1,30,city,113.65
15:45,7,1,58,highway,6.54
12:50,19,4,45,highway,22.61
11:20,15,6,42,city,31.45
19:41,19,6,55,rural,24.03
07:37,22,7,55,city,34.08
14:20,49,4,46,rural,64.22
14:46,12,3,50,rural,16.97
08:50,19,2,59,highway,19.48
11:07,13,5,50,highway,13.17
14:19,11,7,59,highway,10.0
09:08,25,4,33,rural,53.98
17:19,46,7,59,highway,51.46
09:58,42,1,49,rural,52.4
09:05,39,2,30,highway,71.46
17:56,31,1,30,rural,79.39
17:17,15,6,49,rural,24.24
20:58,14,1,53,city,22.39
20:00,8,1,44,city,13.67
09:13,36,7,39,rural,56.2
11:19,39,5,51,highway,42.3
14:01,12,4,51,city,18.74
20:13,20,3,48,highway,24.36
15:06,12,3,45,city,23.61
14:14,10,1,47,rural,15.03
16:49,8,6,33,rural,17.97
14:08,24,5,40,highway,31.77
17:59,17,7,60,highway,19.37
11:27,27,4,60,city,34.45
16:13,47,6,51,rural,66.72
07:32,13,4,45,rural,19.93
20:32,34,7,54,rural,39.91
18:34,44,7,38,highway,67.58
06:47,38,4,56,rural,44.31
09:16,42,6,40,rural,71.74
13:07,17,1,35,highway,24.8
11:51,46,7,43,rural,75.72
15:45,20,4,45,highway,24.49
13:20,45,5,31,rural,90.86
19:40,42,5,32,city,110.43
06:20,44,4,44,rural,60.66
11:46,9,7,39,highway,12.45
14:56,27,7,46,highway,30.49
14:48,13,5,35,highway,22.21
12:59,34,3,32,rural,71.78
21:00,31,5,47,highway,38.42
16:41,47,1,55,highway,55.27
10:48,44,2,36,city,92.88
14:45,7,3,33,rural,15.11
15:57,48,5,52,highway,53.86
07:41,13,1,30,rural,27.72
12:14,27,5,43,highway,36.15
19:19,27,4,35,rural,54.3
10:54,23,4,56,city,31.74
19:29,44,4,54,city,68.87
09:38,42,2,42,rural,71.41
09:39,31,1,32,rural,66.4
16:48,36,3,55,highway,45.13
12:32,27,6,37,rural,51.72
14:00,47,4,49,city,80.05
18:37,10,3,56,highway,9.14
08:30,28,1,41,city,63.24
13:04,15,3,59,rural,16.51
18:14,17,6,51,highway,18.61
09:54,46,5,37,highway,68.9
19:46,23,3,57,rural,25.23
20:09,41,6,60,rural,41.67
18:17,32,3,57,city,42.41
19:55,14,7,41,rural,23.89
11:17,39,6,57,highway,35.71
13:47,40,5,57,highway,36.03
13:28,47,4,43,highway,54.66
09:47,39,1,43,rural,59.93
19:17,6,7,54,city,8.85
10:32,8,2,52,highway,8.26
16:15,37,5,47,city,80.05
13:15,44,4,46,highway,54.82
08:48,12,2,43,rural,24.33
06:41,12,5,45,highway,15.75
11:40,18,4,56,highway,16.46
08:28,18,5,35,city,51.74
13:54,28,1,33,city,68.14
15:35,15,6,49,highway,17.67
08:38,21,4,44,city,49.36
08:36,44,2,53,city,84.8
18:59,18,5,31,city,49.05
17:50,37,7,35,highway,71.99
06:04,21,2,53,city,31.53
06:14,12,7,54,highway,13.28
06:02,16,2,55,rural,20.75
08:27,30,6,46,highway,43.63
12:13,38,7,41,city,81.26
11:31,21,4,53,highway,22.64
16:30,15,6,32,rural,39.0
14:02,47,1,39,highway,63.4
07:29,17,7,59,rural,18.61
10:27,5,1,56,highway,4.72
14:24,6,6,31,city,15.17
10:34,14,6,54,rural,17.29
08:38,8,7,32,highway,17.05
13:30,25,6,51,highway,29.29
09:22,48,4,44,city,88.67
16:17,9,6,39,highway,16.91
06:31,32,2,60,rural,38.17
16:53,38,1,56,rural,54.26
13:09,46,7,45,rural,71.37
06:42,47,1,47,rural,68.09
12:22,31,7,38,rural,56.6
12:57,26,4,54,city,40.95
14:27,25,7,32,rural,49.07
16:34,14,1,56,city,27.48
15:34,13,6,31,city,31.45
08:12,20,1,48,rural,32.49
16:09,15,4,47,city,29.79
16:56,6,4,39,city,15.92
06:59,13,7,44,highway,17.2
11:10,41,4,41,highway,58.44
07:16,17,7,45,highway,19.95
11:35,46,3,40,city,90.18
07:38,18,2,60,city,26.36
08:24,5,5,60,highway,5.4
11:26,49,5,36,highway,68.33
10:15,22,6,37,city,50.68
20:07,21,7,49,highway,25.58
12:38,24,3,46,city,44.46
17:43,21,1,45,city,42.31
08:59,39,4,53,city,70.75
12:39,42,3,59,city,63.35
20:09,33,4,44,highway,42.54
20:32,16,7,36,city,35.11
08:34,33,5,30,highway,81.29
09:08,46,5,39,rural,80.62
08:04,37,6,30,city,117.79
12:14,45,6,49,rural,63.77
19:26,37,1,47,rural,47.44
13:00,38,3,31,highway,63.1
13:48,34,5,52,city,57.91
13:58,28,4,30,rural,63.88
20:46,11,3,46,rural,15.38
16:04,26,2,58,city,42.44
06:25,41,4,36,rural,68.61
10:38,24,7,58,rural,25.89
15:10,6,7,58,city,7.94
20:39,45,2,56,rural,55.39
17:31,18,6,37,highway,33.06
06:07,43,3,39,city,98.47
14:48,16,2,49,city,27.78
14:37,20,1,60,rural,21.84
11:37,23,4,52,city,38.47
07:43,45,7,60,city,59.63
18:39,24,6,33,highway,40.29
08:37,10,4,34,highway,19.02
10:28,46,5,39,highway,70.61
14:46,13,4,42,highway,15.92
07:01,17,3,41,city,33.44
07:34,38,1,58,highway,37.45
16:54,21,3,44,city,44.26
10:51,34,5,48,city,63.18
06:24,16,5,60,city,21.58
20:13,32,3,39,city,67.78
15:54,5,6,58,rural,6.07
11:42,43,2,56,city,63.83
09:02,25,5,38,city,51.69
09:07,33,3,59,rural,39.72
18:39,33,7,52,highway,36.17
16:14,21,2,40,city,47.64
18:16,30,2,49,highway,34.62
19:00,29,5,46,city,51.93
19:06,16,5,37,city,34.85
08:54,33,7,39,highway,59.91
09:13,41,6,36,highway,58.53
14:39,27,1,43,city,49.37
14:48,26,3,34,city,59.15
13:18,44,7,45,rural,70.27
10:03,20,3,47,highway,24.67
20:11,47,2,53,rural,63.62
13:03,23,1,39,city,51.12
10:05,7,2,43,city,12.69
20:24,19,2,30,rural,43.45
11:40,30,1,31,rural,65.79
12:33,50,3,55,highway,46.73
10:20,6,5,55,rural,7.63
13:24,21,5,58,highway,19.79
11:27,6,7,48,highway,6.4
14:19,40,6,32,rural,83.83
21:00,5,3,47,city,8.12
13:47,25,6,43,highway,33.21
19:56,15,7,43,highway,19.89
16:38,48,5,50,city,105.54
16:30,14,3,57,city,25.16
07:44,17,3,30,rural,38.89
11:08,13,3,35,city,32.42
17:55,11,5,39,highway,17.12
18:22,29,4,54,rural,37.0
19:22,9,5,33,rural,19.13
06:41,5,7,39,rural,7.94
13:31,41,3,50,highway,42.82
16:34,33,1,35,highway,63.11
07:42,36,3,47,city,65.16
14:25,8,1,30,city,22.1
06:32,48,5,43,city,87.09
13:09,41,2,41,rural,71.1
07:26,11,7,57,rural,12.97
20:47,18,7,55,highway,18.71
06:40,35,5,32,rural,78.09
13:41,8,3,53,highway,8.2
12:36,49,7,54,highway,48.69
07:09,47,4,57,highway,42.22
14:24,26,3,36,city,60.04
08:15,9,7,49,highway,13.31
06:55,17,5,30,city,50.43
17:57,44,5,44,rural,74.82
15:38,46,3,59,city,65.97
17:16,32,6,31,highway,73.14
08:26,42,4,34,city,121.21
18:42,40,3,49,highway,41.54
12:22,49,5,46,city,95.58
15:57,31,1,54,highway,30.85
06:14,30,2,48,rural,38.53
10:22,31,6,35,rural,59.55
08:18,8,1,55,rural,11.11
08:53,10,1,45,highway,15.31
18:00,49,7,44,rural,75.33
13:23,23,1,55,rural,26.82
10:50,19,5,44,city,32.96
10:50,14,6,36,rural,23.94
18:51,46,2,52,highway,51.54
11:02,47,2,50,city,74.68
14:43,18,7,41,city,36.88
17:40,18,5,35,city,57.81
06:00,47,4,51,rural,64.01
20:10,7,2,58,highway,6.79
16:56,27,4,43,rural,49.67
12:06,13,4,31,highway,21.32
19:26,30,4,55,highway,27.45
11:09,38,4,46,highway,48.7
06:18,24,3,39,rural,41.16
18:33,40,1,35,rural,78.41
15:47,5,6,40,highway,6.68
07:12,35,4,37,city,78.28
20:43,20,6,31,rural,38.84
18:15,24,5,36,rural,47.13
18:49,42,3,52,highway,45.3
13:37,35,5,53,rural,42.25
19:08,44,5,49,city,70.7
08:36,40,2,47,city,94.42
10:51,27,2,44,rural,41.2
16:47,11,5,34,highway,23.91
17:34,15,6,38,city,42.42
16:20,50,2,42,city,121.94
14:01,6,2,47,rural,8.6
12:32,40,3,54,city,65.02
12:23,31,1,56,city,48.88
19:08,5,5,37,rural,9.49
14:28,16,4,39,city,36.86
13:59,23,7,39,rural,37.74
14:54,44,3,52,city,71.3
09:27,40,5,41,rural,61.06
13:54,34,2,60,highway,29.19
15:55,39,3,55,city,60.14
19:15,18,5,52,rural,22.98
07:31,45,7,43,city,88.91
14:34,9,6,55,rural,10.83
09:25,34,2,40,rural,54.7
17:32,12,7,51,highway,17.51
09:46,32,5,55,city,45.19
16:49,16,4,43,city,37.66
16:20,41,4,39,rural,85.35
18:40,7,1,50,highway,7.64
12:03,22,4,51,highway,23.12
15:43,39,2,48,highway,44.83
07:34,29,4,40,rural,44.47
07:11,30,4,40,city,58.56
19:50,42,6,30,city,118.17
11:55,34,4,54,rural,38.19
20:27,47,6,52,city,68.83
06:37,31,3,49,highway,32.81
17:26,5,2,52,rural,8.03
07:57,11,2,40,rural,19.14
20:41,5,1,30,highway,9.71
16:21,31,7,60,rural,37.25
16:36,39,3,46,highway,57.35
19:37,24,7,39,city,55.18
10:25,34,2,36,highway,55.93
14:03,29,7,55,city,47.16
19:45,19,7,53,highway,20.94
09:49,37,5,34,highway,61.34
10:24,6,2,55,rural,7.62
12:51,22,7,46,rural,34.33
06:24,38,2,40,city,76.95
20:45,11,5,57,rural,13.81
13:46,20,2,60,city,29.66
18:12,35,7,32,highway,60.18
11:17,49,1,32,highway,88.82
10:04,48,2,53,highway,52.74
07:27,40,3,38,rural,68.12
07:30,14,6,54,highway,14.95
11:40,12,4,32,rural,25.23
20:03,41,4,56,rural,44.62
06:38,10,4,49,highway,11.19
19:00,26,3,56,city,35.16
11:38,9,2,43,highway,11.29
14:28,44,2,48,rural,55.75
08:45,35,7,47,rural,63.55
14:16,47,4,30,highway,85.33
20:31,43,5,39,city,88.44
15:43,15,4,44,city,27.43
20:27,38,3,50,highway,39.43
06:24,8,6,47,city,13.43
07:02,19,2,48,highway,20.06
18:10,15,4,49,city,25.29
08:24,11,4,43,highway,17.2
17:53,23,5,43,rural,40.13
10:30,17,7,59,highway,15.91
12:12,12,5,51,city,20.1
10:51,31,7,36,city,73.31
17:47,6,4,38,city,14.59
14:00,18,6,46,rural,24.69
19:19,39,1,48,rural,53.86
08:15,11,1,46,city,26.13
13:04,7,2,58,rural,8.07
11:14,17,5,41,city,34.77
17:00,13,7,38,city,37.78
17:13,9,3,56,highway,11.3
15:25,43,5,55,city,64.45
12:59,38,7,41,highway,53.51
